Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 4,194,304
  value_embeds            : 16,777,216
  lm_head                 : 4,194,304
  transformer_matrices    : 25,166,336
  scalars                 : 16
  total                   : 50,332,176
Estimated FLOPs per token: 2.390784e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 9.011195 | lrm: 1.00 | dt: 21820ms | tok/sec: 24,027 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.898225 | lrm: 1.00 | dt: 547ms | tok/sec: 957,915 | mfu: 23.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.563100 | lrm: 1.00 | dt: 631ms | tok/sec: 831,499 | mfu: 20.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.177384 | lrm: 1.00 | dt: 576ms | tok/sec: 910,841 | mfu: 22.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.813216 | lrm: 1.00 | dt: 625ms | tok/sec: 838,825 | mfu: 20.3% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.508244 | lrm: 1.00 | dt: 597ms | tok/sec: 877,826 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.265855 | lrm: 1.00 | dt: 598ms | tok/sec: 877,150 | mfu: 21.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.064496 | lrm: 1.00 | dt: 615ms | tok/sec: 851,971 | mfu: 20.6% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.899755 | lrm: 1.00 | dt: 605ms | tok/sec: 866,548 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.758037 | lrm: 1.00 | dt: 621ms | tok/sec: 844,738 | mfu: 20.4% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.638352 | lrm: 1.00 | dt: 607ms | tok/sec: 864,223 | mfu: 20.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.538152 | lrm: 1.00 | dt: 616ms | tok/sec: 850,951 | mfu: 20.6% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 6.450664 | lrm: 1.00 | dt: 620ms | tok/sec: 845,289 | mfu: 20.4% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 6.373961 | lrm: 1.00 | dt: 610ms | tok/sec: 859,533 | mfu: 20.8% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 6.308183 | lrm: 1.00 | dt: 614ms | tok/sec: 854,456 | mfu: 20.6% | epoch: 1 | remaining: 298s    
step 00015 (0.8%) | loss: 6.246841 | lrm: 1.00 | dt: 610ms | tok/sec: 859,546 | mfu: 20.8% | epoch: 1 | remaining: 297s    
step 00016 (1.0%) | loss: 6.192450 | lrm: 1.00 | dt: 607ms | tok/sec: 863,963 | mfu: 20.9% | epoch: 1 | remaining: 296s    
step 00017 (1.2%) | loss: 6.144586 | lrm: 1.00 | dt: 617ms | tok/sec: 849,579 | mfu: 20.5% | epoch: 1 | remaining: 296s    
step 00018 (1.4%) | loss: 6.102108 | lrm: 1.00 | dt: 601ms | tok/sec: 872,026 | mfu: 21.1% | epoch: 1 | remaining: 295s    
step 00019 (1.6%) | loss: 6.063159 | lrm: 1.00 | dt: 611ms | tok/sec: 858,765 | mfu: 20.7% | epoch: 1 | remaining: 294s    
step 00020 (1.8%) | loss: 6.023913 | lrm: 1.00 | dt: 606ms | tok/sec: 864,579 | mfu: 20.9% | epoch: 1 | remaining: 294s    
step 00021 (2.0%) | loss: 5.987643 | lrm: 1.00 | dt: 605ms | tok/sec: 867,274 | mfu: 21.0% | epoch: 1 | remaining: 293s    
step 00022 (2.2%) | loss: 5.956662 | lrm: 1.00 | dt: 615ms | tok/sec: 852,615 | mfu: 20.6% | epoch: 1 | remaining: 293s    
step 00023 (2.4%) | loss: 5.924360 | lrm: 1.00 | dt: 607ms | tok/sec: 863,973 | mfu: 20.9% | epoch: 1 | remaining: 292s    
step 00024 (2.6%) | loss: 5.896013 | lrm: 1.00 | dt: 610ms | tok/sec: 859,197 | mfu: 20.8% | epoch: 1 | remaining: 291s    
step 00025 (2.8%) | loss: 5.869003 | lrm: 1.00 | dt: 612ms | tok/sec: 856,932 | mfu: 20.7% | epoch: 1 | remaining: 291s    
step 00026 (3.1%) | loss: 5.845333 | lrm: 1.00 | dt: 611ms | tok/sec: 858,614 | mfu: 20.7% | epoch: 1 | remaining: 290s    
step 00027 (3.3%) | loss: 5.820365 | lrm: 1.00 | dt: 617ms | tok/sec: 849,782 | mfu: 20.5% | epoch: 1 | remaining: 290s    
step 00028 (3.5%) | loss: 5.799075 | lrm: 1.00 | dt: 610ms | tok/sec: 858,850 | mfu: 20.8% | epoch: 1 | remaining: 289s    
step 00029 (3.7%) | loss: 5.776162 | lrm: 1.00 | dt: 616ms | tok/sec: 850,680 | mfu: 20.6% | epoch: 1 | remaining: 288s    
step 00030 (3.9%) | loss: 5.755767 | lrm: 1.00 | dt: 612ms | tok/sec: 856,900 | mfu: 20.7% | epoch: 1 | remaining: 288s    
step 00031 (4.1%) | loss: 5.738630 | lrm: 1.00 | dt: 612ms | tok/sec: 856,919 | mfu: 20.7% | epoch: 1 | remaining: 287s    
step 00032 (4.3%) | loss: 5.721976 | lrm: 1.00 | dt: 608ms | tok/sec: 862,733 | mfu: 20.8% | epoch: 1 | remaining: 287s    
step 00033 (4.5%) | loss: 5.705783 | lrm: 1.00 | dt: 604ms | tok/sec: 867,427 | mfu: 21.0% | epoch: 1 | remaining: 286s    
step 00034 (4.7%) | loss: 5.688052 | lrm: 1.00 | dt: 615ms | tok/sec: 853,011 | mfu: 20.6% | epoch: 1 | remaining: 285s    
step 00035 (4.9%) | loss: 5.670169 | lrm: 1.00 | dt: 610ms | tok/sec: 859,763 | mfu: 20.8% | epoch: 1 | remaining: 285s    
step 00036 (5.1%) | loss: 5.653937 | lrm: 1.00 | dt: 615ms | tok/sec: 852,613 | mfu: 20.6% | epoch: 1 | remaining: 284s    
step 00037 (5.3%) | loss: 5.636115 | lrm: 1.00 | dt: 617ms | tok/sec: 849,076 | mfu: 20.5% | epoch: 1 | remaining: 283s    
step 00038 (5.5%) | loss: 5.619171 | lrm: 1.00 | dt: 620ms | tok/sec: 845,340 | mfu: 20.4% | epoch: 1 | remaining: 283s    
step 00039 (5.7%) | loss: 5.602115 | lrm: 1.00 | dt: 607ms | tok/sec: 863,328 | mfu: 20.9% | epoch: 1 | remaining: 282s    
step 00040 (5.9%) | loss: 5.584038 | lrm: 1.00 | dt: 608ms | tok/sec: 861,754 | mfu: 20.8% | epoch: 1 | remaining: 282s    
step 00041 (6.1%) | loss: 5.567977 | lrm: 1.00 | dt: 605ms | tok/sec: 867,243 | mfu: 21.0% | epoch: 1 | remaining: 281s    
step 00042 (6.3%) | loss: 5.551349 | lrm: 1.00 | dt: 608ms | tok/sec: 862,717 | mfu: 20.8% | epoch: 1 | remaining: 280s    
step 00043 (6.5%) | loss: 5.536036 | lrm: 1.00 | dt: 605ms | tok/sec: 867,007 | mfu: 20.9% | epoch: 1 | remaining: 280s    
step 00044 (6.7%) | loss: 5.519153 | lrm: 1.00 | dt: 604ms | tok/sec: 868,338 | mfu: 21.0% | epoch: 1 | remaining: 279s    
step 00045 (6.9%) | loss: 5.500710 | lrm: 1.00 | dt: 609ms | tok/sec: 860,968 | mfu: 20.8% | epoch: 1 | remaining: 279s    
